datetime,open,high,low,close,volume,timestamp,sma_7,sma_25,sma_99,rsi_14,macd,macd_signal,macd_hist,volume_sma_20,roc_12,market_regime
2018-06-05 00:00:00,591.02,614.0,570.36,609.05,89053.74351,1528156800,581.28,509.25,404.6217171717172,50.0,0.0,0.0,0.0,129995.1419555,-0.18374517691486736,0.0
2018-06-06 00:00:00,609.29,613.35,593.4,607.4,70152.92117,1528243200,581.28,509.25,404.6217171717172,0.0,-0.13162393162394892,-0.026324786324789785,-0.10529914529915914,129995.1419555,-0.18374517691486736,1.0
2018-06-07 00:00:00,606.68,618.0,598.24,605.16,60174.1888,1528329600,581.28,509.25,404.6217171717172,0.0,-0.4119375654419173,-0.1034473421482153,-0.308490223293702,129995.1419555,-0.18374517691486736,0.0
2018-06-08 00:00:00,605.2,608.45,593.33,598.68,49228.00755,1528416000,581.28,509.25,404.6217171717172,0.0,-1.1437851410493067,-0.31151490192843356,-0.8322702391208732,129995.1419555,-0.18374517691486736,1.0
2018-06-09 00:00:00,599.29,608.97,591.0,592.87,38908.0653,1528502400,581.28,509.25,404.6217171717172,0.0,-2.1676111887068146,-0.6827341592841099,-1.4848770294227047,129995.1419555,-0.18374517691486736,-1.0
2018-06-10 00:00:00,592.44,592.87,501.13,524.11,190350.58429,1528588800,581.28,509.25,404.6217171717172,0.0,-8.430180186857797,-2.2322233647988474,-6.197956822058949,129995.1419555,-0.18374517691486736,-2.0
2018-06-11 00:00:00,524.64,535.51,508.66,531.69,145813.07819,1528675200,581.28,509.25,404.6217171717172,8.977753012572606,-12.636008545102982,-4.312980400859675,-8.323028144243306,129995.1419555,-0.18374517691486736,-2.0
2018-06-12 00:00:00,531.08,538.88,482.0,493.0,158223.14812,1528761600,564.7014285714286,509.25,404.6217171717172,6.011241506089846,-18.87355488224557,-7.225095297136854,-11.648459585108718,129995.1419555,-0.18374517691486736,-2.0
2018-06-13 00:00:00,493.0,501.97,449.06,475.47,181842.19417,1528848000,545.8542857142858,509.25,404.6217171717172,5.176615087500053,-24.94384269758814,-10.768844777227113,-14.174997920361026,129995.1419555,-0.18374517691486736,-2.0
2018-06-14 00:00:00,475.47,529.0,460.0,519.29,206093.0733,1528934400,533.5871428571428,509.25,404.6217171717172,30.97573461812648,-25.91989334838263,-13.799054491458218,-12.120838856924411,129995.1419555,-0.18374517691486736,-2.0
2018-06-15 00:00:00,519.3,521.0,481.62,487.48,160532.53607,1529020800,517.7014285714286,509.25,404.6217171717172,25.542805839725645,-28.92677185429409,-16.824597964025394,-12.102173890268695,129995.1419555,-0.18374517691486736,-2.0
2018-06-16 00:00:00,487.47,503.28,483.72,496.74,131095.45173,1529107200,503.96857142857147,509.25,404.6217171717172,29.423458480703218,-30.21424906713878,-19.50252818464807,-10.71172088249071,129995.1419555,-0.18374517691486736,-2.0
2018-06-17 00:00:00,496.45,507.6,492.7,497.14,117316.93221,1529193600,500.11571428571426,509.25,404.6217171717172,29.594161211680202,-30.84672552657969,-21.771367653034396,-9.075357873545293,129995.1419555,-0.18374517691486736,-2.0
2018-06-18 00:00:00,497.15,524.48,487.27,517.95,143826.68272,1529280000,498.1528571428571,509.25,404.6217171717172,37.99637878375572,-29.330668900482465,-23.28322790252401,-6.047440997958454,129995.1419555,-0.14726703984194922,-2.0
2018-06-19 00:00:00,517.77,548.2,510.01,537.97,148148.38064,1529366400,504.57714285714286,509.25,404.6217171717172,44.81900319879767,-26.211585573477805,-23.86889943671477,-2.342686136763035,129995.1419555,-0.11102848833366374,-2.0
2018-06-20 00:00:00,537.68,542.02,515.08,536.49,123892.0424,1529452800,513.2942857142858,509.25,404.6217171717172,44.42978694711196,-23.587214470286426,-23.8125624434291,0.22534797314267507,129995.1419555,-0.10387853277209858,-2.0
2018-06-21 00:00:00,536.34,544.98,521.11,526.18,79862.90544,1529539200,514.2785714285715,509.25,404.6217171717172,41.71225842898856,-22.084733241628896,-23.466996603069063,1.3822633614401667,129995.1419555,-0.11248671715553171,-2.0
2018-06-22 00:00:00,526.32,526.44,450.0,462.09,212659.53437,1529625600,510.65142857142854,509.25,404.6217171717172,29.59440327862697,-25.76849030474193,-23.92729534340364,-1.8411949613382923,129995.1419555,-0.11833393753219756,-2.0
2018-06-23 00:00:00,462.4,481.0,455.0,473.41,94465.26834,1529712000,507.31857142857143,509.25,404.6217171717172,33.281215485331046,-27.45794680370807,-24.633425635464526,-2.8245211682435425,129995.1419555,-0.10961274426827672,-2.0
2018-06-24 00:00:00,473.4,475.81,419.53,454.41,198264.10079,1529798400,501.2142857142857,509.25,404.6217171717172,30.403430880592794,-29.984353498867222,-25.70361120814507,-4.280742290722152,129995.1419555,-0.07827586206896542,-2.0
2018-06-25 00:00:00,454.29,474.47,444.37,458.7,122942.1165,1529884800,492.75,509.25,404.6217171717172,31.836604148663326,-31.279807707338136,-26.818850507983683,-4.4609571993544535,131689.560605,-0.035270364060824066,-2.0
2018-06-26 00:00:00,459.04,460.81,429.0,429.34,84003.09976,1529971200,477.2314285714286,509.25,404.6217171717172,27.641389543397338,-34.28040792528725,-28.311161991444397,-5.969245933842853,132382.0695345,-0.17321727743649984,-2.0
2018-06-27 00:00:00,429.81,445.95,420.19,441.64,99156.36437,1530057600,463.68142857142857,509.25,404.6217171717172,31.70180448733774,-35.25944903136951,-29.70081939942942,-5.558629631940093,134331.17831299998,-0.09403462706162313,-2.0
2018-06-28 00:00:00,441.36,443.96,416.45,420.22,112309.56714,1530144000,448.5442857142857,509.25,404.6217171717172,28.68319606656722,-37.33340489475171,-31.22733649849388,-6.106068396257829,137485.2562925,-0.1540443692877561,-2.0
2018-06-29 00:00:00,420.48,442.0,404.48,434.77,159495.30942,1530230400,444.6414285714286,509.25,404.6217171717172,33.32727119306557,-37.372163421393,-32.45630188307371,-4.915861538319291,143514.6184985,-0.12545761757251483,-2.0
2018-06-30 00:00:00,434.77,463.15,434.51,454.09,157169.20242,1530316800,441.88142857142856,503.0516,404.6217171717172,39.006863278830984,-35.43543960697923,-33.052129427854815,-2.3833101791244147,141855.549405,-0.12329375422338074,-2.0
2018-07-01 00:00:00,454.2,457.77,443.73,452.1,111226.62846,1530403200,441.5514285714286,496.8396,404.6217171717172,38.64172608777802,-33.67298716426785,-33.17630097513742,-0.49668618913042906,140126.22691849997,-0.15961856609104597,-2.0
2018-07-02 00:00:00,452.14,481.83,444.16,476.25,182585.11018,1530489600,444.0585714285714,491.6832,404.6217171717172,45.32998363256972,-29.98191488391825,-32.53742375689359,2.555508872975338,141344.3250215,-0.11228541072526987,-2.0
2018-07-03 00:00:00,476.32,486.98,457.0,461.82,186954.55478,1530576000,448.6985714285714,486.20880000000005,404.6217171717172,42.358877430993665,-27.899486004625317,-31.609836206439937,3.71035020181462,141599.943052,-0.12231555741381273,-2.0
2018-07-04 00:00:00,461.78,482.7,458.02,467.38,101886.20199,1530662400,452.3757142857143,481.18919999999997,404.6217171717172,43.885052375419185,-25.50647778290437,-30.389164521732823,4.882686738828454,136389.5994865,0.011447986323010806,-2.0
2018-07-05 00:00:00,467.19,480.0,458.8,467.87,125806.0083,1530748800,459.18285714285713,478.9396,404.6217171717172,44.025711025971155,-23.30185336095309,-28.971702289576875,5.669848928623786,134653.273098,-0.011702329904311304,-2.0
2018-07-06 00:00:00,467.79,476.0,451.29,470.47,100428.64802,1530835200,464.28285714285715,476.49080000000004,404.6217171717172,44.81613831299231,-21.10162792083804,-27.397687415829107,6.296059494991066,133119.9329125,0.035342532074558175,-2.0
2018-07-07 00:00:00,470.48,487.99,461.5,485.57,83629.95382,1530921600,468.78000000000003,476.1936,404.6217171717172,49.29447655448007,-17.932771773501884,-25.504704287363666,7.571932513861782,131435.583993,0.058578591672116875,-2.0
2018-07-08 00:00:00,485.57,495.98,482.05,486.77,144703.13626,1531008000,473.73285714285714,476.6456,404.6217171717172,49.644214824733396,-15.149961153526249,-23.433755660596184,8.283794507069935,131479.40667,0.13376345087809205,-2.0
2018-07-09 00:00:00,486.55,488.98,468.2,471.71,89532.14109,1531094400,473.08428571428567,474.74240000000003,404.6217171717172,45.410937106375016,-13.99841481418889,-21.546687491314724,7.5482726771258335,128548.5946925,0.06808712978896847,-2.0
2018-07-10 00:00:00,471.73,473.23,427.69,432.48,173640.9762,1531180800,468.89285714285717,472.5424,404.6217171717172,36.6449591212647,-16.066138738478003,-20.45057774074738,4.384439002269378,131036.0413825,0.0291751939460283,-2.0
2018-07-11 00:00:00,432.55,452.69,424.2,444.99,159022.59726,1531267200,465.69428571428574,470.4724,404.6217171717172,40.5838002777646,-16.505111741969756,-19.661484540991857,3.156372799022101,134994.02597349999,0.023506681693769238,-2.0
2018-07-12 00:00:00,444.99,445.36,416.94,431.14,181877.07924,1531353600,460.44714285714286,467.8324,404.6217171717172,37.783127665292724,-17.765787323144536,-19.282345097422393,1.5165577742778567,133454.903217,-0.05054064172300643,-2.0
2018-07-13 00:00:00,431.14,442.47,424.62,432.46,150320.32532,1531440000,455.01714285714286,464.4128,404.6217171717172,38.2207116061288,-18.44573785172139,-19.115023648282193,0.6692857965608034,136247.656066,-0.0434417164344173,-2.0
2018-07-14 00:00:00,432.43,440.0,428.26,433.19,122253.69397,1531526400,447.5342857142858,460.22159999999997,404.6217171717172,38.478411566831426,-18.710021167823243,-19.034023152190404,0.3240019843671611,132447.135725,-0.09041469816272962,-2.0
2018-07-15 00:00:00,433.2,455.0,430.52,449.78,140415.27048,1531612800,442.25,456.7532,404.6217171717172,44.17730408996706,-17.380442328098752,-18.703306987372073,1.3228646592733213,133320.79342399997,-0.026070763500931182,-2.0
2018-07-16 00:00:00,449.79,480.57,444.03,478.49,172440.71343,1531699200,443.21857142857147,454.8456,404.6217171717172,52.39559576546571,-13.850425375857697,-17.732730665069198,3.8823052892115015,137742.67410749997,0.023770807479994938,-2.0
2018-07-17 00:00:00,478.49,512.0,465.29,498.76,215318.06761,1531785600,452.6871428571429,456.31239999999997,404.6217171717172,57.187881481678964,-9.309922916114886,-16.048169115278334,6.738246199163449,143550.7592695,0.06602261311902868,-2.0
2018-07-18 00:00:00,498.89,515.47,468.01,479.41,236137.8071,1531872000,457.6042857142857,456.5524,404.6217171717172,51.82445629679925,-7.190042950035888,-14.276543882229845,7.086500932193957,149742.17126749997,0.019002274321423318,-2.0
2018-07-19 00:00:00,479.4,484.15,462.57,468.57,171308.06705,1531958400,462.95142857142855,457.11879999999996,404.6217171717172,49.04919971939689,-6.311959866070481,-12.683627078997974,6.371667212927493,150332.809149,-0.035010400148279386,-2.0
2018-07-20 00:00:00,468.7,471.02,440.0,449.04,160873.38244,1532044800,465.32,456.7324,404.6217171717172,44.4325466834336,-7.1100205852876,-11.5689057802559,4.4588851949683,150518.01815,-0.0775109394580602,-2.0
2018-07-21 00:00:00,449.04,468.97,441.18,460.23,74259.64067,1532131200,469.18285714285713,457.96799999999996,404.6217171717172,47.4826240491682,-6.761606384272113,-10.607445901059144,3.8458395167870307,148669.6687605,-0.024336986707934827,-2.0
2018-07-22 00:00:00,460.23,472.2,454.19,457.47,60684.89595,1532217600,470.2814285714286,458.60119999999995,404.6217171717172,46.80028141835005,-6.631747891917826,-9.812306299230881,3.1805584073130557,142574.658049,0.057783018867924474,-2.0
2018-07-23 00:00:00,457.47,469.82,447.11,450.05,106561.46081,1532304000,466.21857142857147,459.7944,404.6217171717172,44.93092274040586,-7.046340265236665,-9.259113092432038,2.212772827195373,138555.0033505,0.011371042045888569,-2.0
2018-07-24 00:00:00,450.05,484.27,448.47,479.28,158286.759,1532390400,463.4357142857143,461.57480000000004,404.6217171717172,52.91046798648061,-4.959125284045001,-8.399115530754631,3.4399902467096304,141375.031201,0.11165746625226136,-2.0
2018-07-25 00:00:00,479.24,485.77,464.0,472.1,170475.54936,1532476800,462.39142857142855,462.29519999999997,404.6217171717172,50.95722434918122,-3.8400921758857294,-7.487310859780852,3.6472186838951224,143608.50825400001,0.09166165656939373,-2.0
2018-07-26 00:00:00,472.11,485.0,460.0,462.64,173976.2192,1532563200,461.54428571428576,462.7168,404.6217171717172,48.420931868133614,-3.6742389751810833,-6.724696482860899,3.0504575076798153,147285.886813,0.06798402548535276,-2.0
2018-07-27 00:00:00,462.17,474.0,455.84,470.09,198304.79211,1532649600,464.5514285714286,462.4704,404.6217171717172,50.51003803058066,-2.908123345282263,-5.961381855345172,3.053258510062909,153019.6287275,0.04515540931121875,-2.0
2018-07-28 00:00:00,470.09,472.0,460.82,469.29,156862.59361,1532736000,465.8457142857143,462.76919999999996,404.6217171717172,50.274558219245826,-2.338566958947922,-5.236818876065723,2.8982519171178005,153627.601595,-0.01922715208259318,-2.0
2018-07-29 00:00:00,468.44,472.0,461.6,466.4,138747.56334,1532822400,467.12142857142857,462.73,404.6217171717172,49.37896558985827,-2.0962242977578853,-4.608699960404156,2.5124756626462705,156088.37270749998,-0.06488090464351592,-2.0
2018-07-30 00:00:00,466.4,469.79,446.1,456.23,179581.79415,1532908800,468.0042857142857,462.2644,404.6217171717172,46.25619590318215,-2.6937481467086286,-4.225709597665051,1.5319614509564223,156385.41360499998,-0.04835109822490147,-2.0
