window,row,datetime,action,equity,long,short,entries
W1,56320,2026-06-09 18:00:00,1,10001.192748147652,True,False,1
W1,56321,2026-06-09 19:00:00,1,10050.732263676773,True,False,1
W1,56322,2026-06-09 20:00:00,1,10060.752578414904,True,False,1
W1,56323,2026-06-09 21:00:00,1,9996.205667407266,True,False,1
W1,56324,2026-06-09 22:00:00,1,9989.132838776091,True,False,1
W1,56325,2026-06-09 23:00:00,1,9991.155995263063,True,False,1
W1,56326,2026-06-10 00:00:00,1,10022.419453114402,True,False,1
W1,56327,2026-06-10 01:00:00,1,9988.56635495974,True,False,1
W1,56328,2026-06-10 02:00:00,1,9921.941282898139,True,False,1
W1,56329,2026-06-10 03:00:00,1,9961.964376101665,True,False,1
W1,56330,2026-06-10 04:00:00,1,9920.910105326186,True,False,1
W1,56331,2026-06-10 05:00:00,1,9931.460234169343,True,False,1
W1,56332,2026-06-10 06:00:00,1,9949.542195271655,True,False,1
W1,56333,2026-06-10 07:00:00,1,9984.28674675339,True,False,1
W1,56334,2026-06-10 08:00:00,1,9915.336309204577,True,False,1
W1,56335,2026-06-10 09:00:00,1,9927.214766728712,True,False,1
W1,56336,2026-06-10 10:00:00,1,9935.493270178842,True,False,1
W1,56337,2026-06-10 11:00:00,1,9878.512964432477,True,False,1
W1,56338,2026-06-10 12:00:00,1,9964.29037382528,True,False,1
W1,56339,2026-06-10 13:00:00,1,10058.554924680931,True,False,1
W1,56340,2026-06-10 14:00:00,1,10066.577372388176,True,False,1
W1,56341,2026-06-10 15:00:00,1,10138.317236943403,True,False,1
W1,56342,2026-06-10 16:00:00,1,10070.354984891195,True,False,1
W1,56343,2026-06-10 17:00:00,1,10029.998703103722,True,False,1
W1,56344,2026-06-10 18:00:00,1,10015.757578144645,True,False,1
W1,56345,2026-06-10 19:00:00,1,10025.540171995555,True,False,1
W1,56346,2026-06-10 20:00:00,1,10003.377757153583,True,False,1
W1,56347,2026-06-10 21:00:00,1,9930.65223604736,True,False,1
W1,56348,2026-06-10 22:00:00,1,9934.74407004226,True,False,1
W1,56349,2026-06-10 23:00:00,1,9955.708396902106,True,False,1
W1,56350,2026-06-11 00:00:00,1,10004.4279018176,True,False,1
W1,56351,2026-06-11 01:00:00,1,10068.199690996167,True,False,1
W1,56352,2026-06-11 02:00:00,1,10058.810348187411,True,False,1
W1,56353,2026-06-11 03:00:00,1,10146.450326021033,True,False,1
W1,56354,2026-06-11 04:00:00,1,10152.50019615348,True,False,1
W1,56355,2026-06-11 05:00:00,1,10133.5862119459,True,False,1
W1,56356,2026-06-11 06:00:00,1,10159.806320017058,True,False,1
W1,56357,2026-06-11 07:00:00,1,10151.291360152514,True,False,1
W1,56358,2026-06-11 08:00:00,1,10189.908991833996,True,False,1
W1,56359,2026-06-11 09:00:00,1,10184.972490005784,True,False,1
W1,56360,2026-06-11 10:00:00,1,10220.66286714518,True,False,1
W1,56361,2026-06-11 11:00:00,1,10214.18876638687,True,False,1
W1,56362,2026-06-11 12:00:00,1,10198.329116238216,True,False,1
W1,56363,2026-06-11 13:00:00,1,10209.263644813896,True,False,1
W1,56364,2026-06-11 14:00:00,1,10153.659085478674,True,False,1
W1,56365,2026-06-11 15:00:00,1,10156.155154794476,True,False,1
W1,56366,2026-06-11 16:00:00,1,10129.127048601333,True,False,1
W1,56367,2026-06-11 17:00:00,1,10285.52638757409,False,False,1
W1,56368,2026-06-11 18:00:00,1,10240.566090178394,True,False,2
W1,56369,2026-06-11 19:00:00,1,10263.893157328897,True,False,2
W1,56370,2026-06-11 20:00:00,1,10229.681974511419,True,False,2
W1,56371,2026-06-11 21:00:00,1,10250.065344426459,True,False,2
W1,56372,2026-06-11 22:00:00,1,10246.841775333916,True,False,2
W1,56373,2026-06-11 23:00:00,1,10267.170305493177,True,False,2
W1,56374,2026-06-12 00:00:00,1,10270.851502892558,True,False,2
W1,56375,2026-06-12 01:00:00,1,10234.930832515642,True,False,2
W1,56376,2026-06-12 02:00:00,1,10266.86080756114,True,False,2
W1,56377,2026-06-12 03:00:00,1,10250.845077505744,True,False,2
W1,56378,2026-06-12 04:00:00,1,10279.113395754493,True,False,2
W1,56379,2026-06-12 05:00:00,1,10223.957838623784,True,False,2
W1,56380,2026-06-12 06:00:00,1,10163.001243878945,True,False,2
W1,56381,2026-06-12 07:00:00,1,10182.422081528768,True,False,2
W1,56382,2026-06-12 08:00:00,1,10242.129338389092,True,False,2
W1,56383,2026-06-12 09:00:00,1,10287.654530131485,True,False,2
W1,56384,2026-06-12 10:00:00,1,10279.438021895023,True,False,2
W1,56385,2026-06-12 11:00:00,1,10289.765545557946,True,False,2
W1,56386,2026-06-12 12:00:00,1,10241.274594609371,True,False,2
W1,56387,2026-06-12 13:00:00,1,10203.125665190191,True,False,2
W1,56388,2026-06-12 14:00:00,1,10327.521771898391,True,False,2
W1,56389,2026-06-12 15:00:00,1,10261.850218840646,True,False,2
W1,56390,2026-06-12 16:00:00,1,10324.69657896277,True,False,2
W1,56391,2026-06-12 17:00:00,1,10305.810271346283,True,False,2
W1,56392,2026-06-12 18:00:00,1,10278.145190411095,True,False,2
W1,56393,2026-06-12 19:00:00,1,10261.24509050102,True,False,2
W1,56394,2026-06-12 20:00:00,1,10238.610138888962,True,False,2
W1,56395,2026-06-12 21:00:00,1,10242.321592705326,True,False,2
W1,56396,2026-06-12 22:00:00,1,10247.162619422323,True,False,2
W1,56397,2026-06-12 23:00:00,1,10259.751179912573,True,False,2
W1,56398,2026-06-13 00:00:00,1,10262.978531057235,True,False,2
W1,56399,2026-06-13 01:00:00,1,10301.364469076103,True,False,2
W1,56400,2026-06-13 02:00:00,1,10270.401438689963,True,False,2
W1,56401,2026-06-13 03:00:00,1,10252.003646139317,True,False,2
W1,56402,2026-06-13 04:00:00,1,10248.778186020716,True,False,2
W1,56403,2026-06-13 05:00:00,1,10260.399801851607,True,False,2
W1,56404,2026-06-13 06:00:00,1,10284.880394899521,True,False,2
W1,56405,2026-06-13 07:00:00,1,10302.67305911054,True,False,2
W1,56406,2026-06-13 08:00:00,1,10296.218356821211,True,False,2
W1,56407,2026-06-13 09:00:00,1,10286.071741318156,True,False,2
W1,56408,2026-06-13 10:00:00,1,10302.1908474649,True,False,2
